Title,FirstClassificationId,FirstClassificationLabel,FirstClassificationName,FirstClassificationScore,SecondClassificationId,SecondClassificationLabel,SecondClassificationName,SecondClassificationScore,ThirdClassificationId,ThirdClassificationLabel,ThirdClassificationName,ThirdClassificationScore,RequestId
市领导回应林场主跪地求供水,112,social,社会,0.37723875045776367,11204,social_community,社会_社区新闻,0.7319085597991943,,,,,0ae12acd-8d0e-4899-80bd-c5c9c7343444
周冬雨马思纯同框,104,ent,娱乐,0.1518539935350418,10402,ent_domestic,娱乐_内地明星,0.25861266255378723,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.25861266255378723,39745506-d30f-43fe-902f-d368b4c92e61
看中医时千万不要化妆,100,funny,搞笑,0.15779125690460205,10001,funny_duanzi,搞笑_段子,0.0038439801428467035,,,,,91a26b8f-be4a-4664-8f99-dfe37de7821b
半夜陪主人上厕所的狗狗,100,funny,搞笑,0.3778931796550751,10013,funny_pet,搞笑_爆笑动物,0.014491974376142025,,,,,a8914c39-6489-4eb3-9194-c6da798af122
毛晓彤说原生家庭只是底色,139,other,其他,0.11230550706386566,0,,UNKNOWN,0,,,,,63c5b602-e875-4193-ac03-27de523ea229
聂小雨好惨,139,other,其他,0.11018087714910507,0,,UNKNOWN,0,,,,,ad1c8355-a4f9-4984-a0b2-ded0277df7af
周深到底听到了什么啊,139,other,其他,0.12172313034534454,0,,UNKNOWN,0,,,,,9db246f7-6e6b-4c4e-a740-92ba0e9bdbb2
张颂文教演员和狗狗演戏,104,ent,娱乐,0.19568195939064026,10402,ent_domestic,娱乐_内地明星,0.21009622514247894,10402001,ent_domestic_news,娱乐_内地明星_明星资讯,0.21009622514247894,529ce92a-c84e-40b4-b4b4-0b111d156c76
他是谁割喉案凶手锁定,139,other,其他,0.13500380516052246,0,,UNKNOWN,0,,,,,7222c479-de4c-4c7a-a198-529df3e3870a
上海和武汉有多像,139,other,其他,0.13915598392486572,0,,UNKNOWN,0,,,,,770d5407-5dae-40b0-83d5-a3efad689347
一个吵架一定赢的技巧,139,other,其他,0.13489048182964325,0,,UNKNOWN,0,,,,,fa7987a7-5145-40fc-b374-35aec35d5ede
偷偷藏不住在制作后期音效,139,other,其他,0.08460847288370132,0,,UNKNOWN,0,,,,,527acee8-bda9-459e-a69b-adc9a081fec4
胡歌唐嫣新剧同框,104,ent,娱乐,0.23448942601680756,10402,ent_domestic,娱乐_内地明星,0.34801366925239563,10402001,ent_domestic_news,娱乐_内地明星_明星资讯,0.34801366925239563,ad56c824-0b26-4311-90cc-c625033d5b50
刘宪华 南京,139,other,其他,0.13008856773376465,0,,UNKNOWN,0,,,,,d4e0711a-4b62-4ec5-9abd-2a13a947cf04
高加林报复性消费,139,other,其他,0.11782146990299225,0,,UNKNOWN,0,,,,,35383ceb-d5c8-4829-8548-cb26721c5bc0
秦岚白裙,139,other,其他,0.14316308498382568,0,,UNKNOWN,0,,,,,255677a3-d711-462c-a852-d75df86a3413
跪地求水林场主称三成树木因缺水死亡,112,social,社会,0.23764707148075104,11204,social_community,社会_社区新闻,0.5771512985229492,,,,,229db6e5-cd4d-405f-936f-8e011dad2854
跪求供水事件协商暂无进展,112,social,社会,0.25328654050827026,11204,social_community,社会_社区新闻,0.8185425400733948,,,,,d1294cb0-7bf2-48db-978c-521c8d93501a
娜扎萌探3港风红裙路透,104,ent,娱乐,0.2199530005455017,10402,ent_domestic,娱乐_内地明星,0.314900279045105,10402005,ent_domestic_live,娱乐_内地明星_明星现场,0.314900279045105,7e346795-35e5-4c97-9fcd-079504fbca29
王子文说疗愈对方不是伴侣要做的事,104,ent,娱乐,0.19168740510940552,10402,ent_domestic,娱乐_内地明星,0.29704728722572327,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.29704728722572327,fb148442-3456-4f84-997e-82b7f92f9163
忠犬八公,139,other,其他,0.11996401101350784,0,,UNKNOWN,0,,,,,edce2f39-6cc5-4c12-866f-5f4a034b9147
